,Unnamed: 0,ShooterID,Solo,Fatalities,LocationCrimeRate,ServedMilitary,ServedLawEnforcement,Gender_Female,Gender_Male,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Hispanic,Ethnicity_Other,Ethnicity_White,Motive_Organizational Target,Motive_Personal Target,Motive_Religious,Motive_Unknown,Weapon_Handgun,Weapon_Multiple,Weapon_Rifle,Weapon_Shotgun,WealthClass_High,WealthClass_Low,WealthClass_Middle,StatedReligion_Christian,StatedReligion_Jewish,StatedReligion_Muslim,StatedReligion_Other,StatedReligion_Undefined,EducationLevel_Bachelor,EducationLevel_Graduate,EducationLevel_High School,EducationLevel_No Formal Education,EducationLevel_Some College
18,18,19,True,3,32.89,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
19,19,20,True,5,83.13,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False
20,20,21,True,4,85.62,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
21,21,22,True,8,37.5,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
22,22,23,True,4,43.13,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False
23,23,24,True,3,21.7,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True
24,24,25,True,1,43.25,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True
25,25,26,True,2,27.48,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False
26,26,27,True,5,17.49,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
27,27,28,True,2,15.85,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
28,28,29,True,6,77.56,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
29,29,30,True,3,11.69,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
30,30,31,True,5,61.6,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
31,31,32,True,2,16.75,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
32,32,33,True,2,83.78,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False
33,33,34,True,5,27.45,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
34,34,35,True,5,4.49,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False
35,35,36,True,4,45.21,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False
36,36,37,True,4,99.98,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False
37,37,38,True,0,81.31,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
38,38,39,True,3,57.03,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False
39,39,40,False,4,18.94,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False
40,40,41,True,4,11.75,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
41,41,42,True,4,83.86,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False
42,42,43,True,4,78.77,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False
43,43,44,True,0,46.22,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
44,44,45,True,6,42.14,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False
45,45,46,True,4,74.87,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,False
46,46,47,True,1,53.6,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False
47,47,48,False,2,40.42,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False
48,48,49,True,2,25.17,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
49,49,50,True,1,12.26,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False
50,50,51,True,3,59.48,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
51,51,52,True,5,82.6,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
52,52,53,True,3,74.62,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
53,53,54,True,5,69.63,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False
54,54,55,False,0,92.89,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
55,55,56,True,6,39.45,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
56,56,57,True,2,13.72,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False
57,57,58,False,4,10.19,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
58,58,59,True,3,95.5,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False
59,59,60,True,1,58.9,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
60,60,61,True,2,81.08,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
61,61,62,True,4,53.56,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
62,62,63,True,4,39.85,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
63,63,64,True,4,20.03,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
64,64,65,True,7,85.64,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
65,65,66,True,6,6.35,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False
66,66,67,True,1,90.02,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False
67,67,68,True,6,20.5,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
68,68,69,False,2,0.95,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
69,69,70,True,4,10.39,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False
70,70,71,True,6,88.35,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True,False
71,71,72,True,2,7.37,True,True,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
72,72,73,True,1,35.52,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False
73,73,74,True,4,25.03,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True
74,74,75,True,3,3.69,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
75,75,76,True,2,53.15,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
76,76,77,True,2,99.83,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
77,77,78,True,6,85.3,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
78,78,79,True,3,16.89,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
79,79,80,True,4,88.43,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
80,80,81,True,3,45.18,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
81,81,82,True,4,27.33,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False
82,82,83,True,5,64.03,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False
83,83,84,False,2,21.67,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
84,84,85,True,3,87.97,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
85,85,86,True,2,62.42,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
86,86,87,True,3,13.6,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False
87,87,88,True,3,57.06,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False
88,88,89,True,3,51.04,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True
89,89,90,True,2,47.15,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False
90,90,91,True,4,36.5,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True
91,91,92,True,2,47.42,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
92,92,93,False,5,58.6,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
93,93,94,False,3,73.36,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False
94,94,95,True,1,91.79,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False
95,95,96,True,3,4.44,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
96,96,97,True,1,56.93,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
97,97,98,False,3,75.2,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True
98,98,99,True,2,11.56,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,True,False,False
99,99,100,True,2,91.15,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False
100,100,101,False,4,24.5,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False
101,101,102,True,0,83.33,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
102,102,103,True,1,66.2,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
103,103,104,True,6,55.95,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True
104,104,105,False,3,86.92,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False
105,105,106,True,2,96.92,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
106,106,107,True,3,99.71,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
107,107,108,True,2,68.33,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
108,108,109,True,4,33.91,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True
109,109,110,True,0,87.47,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False
110,110,111,True,1,65.43,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
111,111,112,False,5,32.33,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False
112,112,113,True,2,93.24,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False
113,113,114,False,6,74.77,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,True
114,114,115,True,4,45.28,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False
115,115,116,True,3,45.45,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False
116,116,117,True,4,99.59,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False
117,117,118,True,1,37.37,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False
118,118,119,True,6,9.41,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False
119,119,120,True,5,53.86,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False
120,120,121,True,5,88.49,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False
121,121,122,True,4,58.45,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False
122,122,123,False,2,79.31,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False
123,123,124,True,6,5.49,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False
124,124,125,True,4,67.34,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False
125,125,126,True,2,7.92,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False
126,126,127,True,6,55.64,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
127,127,128,True,2,49.78,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False
128,128,129,True,4,94.56,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
129,129,130,True,5,13.25,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
130,130,131,False,1,0.95,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
131,131,132,True,2,13.74,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True
132,132,133,True,0,17.07,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
133,133,134,True,4,25.09,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False
134,134,135,True,0,81.51,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False
135,135,136,True,2,37.69,True,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
136,136,137,True,1,84.08,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True
137,137,138,False,4,27.19,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False
138,138,139,True,0,86.05,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
139,139,140,True,3,0.81,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False
140,140,141,False,1,93.45,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False
141,141,142,True,1,74.6,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
142,142,143,True,2,41.27,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False
143,143,144,True,1,57.73,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
144,144,145,True,1,93.3,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False
145,145,146,True,3,58.26,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False
146,146,147,True,3,22.86,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
147,147,148,True,7,57.29,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True
148,148,149,True,2,87.14,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False
149,149,150,False,5,98.74,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
150,150,151,True,3,58.41,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False
151,151,152,True,1,15.56,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False
152,152,153,True,1,77.18,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True
153,153,154,True,1,99.69,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False
154,154,155,True,3,47.36,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,False
155,155,156,True,4,38.37,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False
156,156,157,True,5,55.25,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False
157,157,158,True,1,16.48,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False
158,158,159,True,5,97.13,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True
159,159,160,True,4,83.83,False,False,False,True,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False
160,160,161,True,3,11.3,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
161,161,162,True,4,94.51,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False
162,162,163,True,3,94.28,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False
163,163,164,True,3,31.64,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False
164,164,165,True,6,61.91,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False
165,165,166,True,2,11.08,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False
166,166,167,False,4,8.42,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
167,167,168,False,6,50.18,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False
168,168,169,False,5,4.97,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False
169,169,170,True,1,87.49,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False
170,170,171,True,4,92.81,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False
171,171,172,True,4,6.73,False,True,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False
172,172,173,False,1,4.73,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True
173,173,174,True,2,22.14,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True
174,174,175,True,1,93.0,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False
175,175,176,True,1,76.9,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False
176,176,177,True,0,67.65,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True
177,177,178,True,2,77.63,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True
178,178,179,True,3,19.95,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False
