AgeGroup_Middle,AgeGroup_Old,AgeGroup_Young,Gender_Female,Gender_Male,Ethnicity_Asian,Ethnicity_Black,Ethnicity_Hispanic,Ethnicity_White,Solo_Yes,Motive_Personal,Motive_Religious,Motive_School,Weapon_Firearm,Weapon_Knife,Weapon_Other,Fatalities_Few,Fatalities_Many,Fatalities_None,Fatalities_Several,Wealth_High,Wealth_Low,Wealth_Medium,CrimeRate_High,CrimeRate_Low,CrimeRate_Medium,Military_No,Military_Yes,LawEnforcement_No,Religion_SomeReligion,Religion_Undefined
True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False
True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False
False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,True,False
True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False
True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False
True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False
True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,True,False,False,True,False,True,True,False
False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,True,False,True,True,False
False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True,True,False
False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False
True,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False,True,True,False
False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False
True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,False,True,True,False,True,True,False
False,False,True,False,True,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False
True,False,False,False,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,False,True,True,False,True,True,False
True,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,True,False
